id,gender,age,lifecycle,delivery_options,online_ordering_flow,chocolate_quality,chocolate_variety,chocolate_uniqueness,innovation,inspiration,payment_options,price_fairness,price_variety,price_comparison,packaging,satisfaction
5260697,Male,59,Returning,0,4,5,4,3,4,3,5,3,3,4,4,Neutral or Dissatisfied
5584090,Male,55,Returning,5,5,5,5,5,4,5,4,4,3,4,5,Satisfied
3055965,Male,39,Returning,3,3,4,4,3,4,4,4,3,3,4,3,Satisfied
8113033,Female,28,Returning,4,4,1,2,4,2,2,3,2,2,4,2,Neutral or Dissatisfied
7559217,Female,28,Returning,2,2,4,4,2,1,4,1,4,4,3,2,Satisfied
261787,Female,42,Returning,3,3,1,3,3,5,2,5,4,4,5,5,Satisfied
93650,Male,24,Returning,0,3,5,3,2,5,3,3,3,3,4,3,Neutral or Dissatisfied
6533623,Female,40,Returning,4,4,5,3,4,5,5,5,5,4,5,4,Satisfied
6548579,Female,25,First-time,2,0,4,0,3,5,2,2,2,2,4,0,Satisfied
9124154,Male,10,Returning,4,4,3,4,4,4,5,5,4,4,4,3,Neutral or Dissatisfied
2916960,Male,51,Returning,1,1,5,4,1,4,4,4,3,2,4,1,Satisfied
2763477,Female,56,Returning,2,2,5,4,2,3,5,3,5,3,3,2,Satisfied
6329437,Female,52,Returning,2,3,4,2,3,3,3,3,3,5,3,3,Neutral or Dissatisfied
9608233,Female,62,Returning,5,4,5,5,3,5,5,4,4,3,5,4,Neutral or Dissatisfied
529313,Female,18,Returning,3,4,4,4,3,1,3,4,3,3,3,3,Neutral or Dissatisfied
5733004,Female,46,Returning,3,3,2,5,3,2,2,2,1,4,2,2,Satisfied
7312580,Female,58,Returning,1,1,2,2,1,2,2,3,3,2,2,2,Neutral or Dissatisfied
6410250,Male,48,Returning,1,1,4,2,1,5,2,1,2,2,4,2,Satisfied
1660092,Female,42,Returning,5,5,5,5,5,4,4,4,3,3,4,5,Satisfied
1339228,Female,47,Returning,4,4,1,3,4,3,3,3,2,3,3,3,Neutral or Dissatisfied
2589971,Male,53,Returning,4,3,5,3,4,3,5,4,5,5,4,3,Neutral or Dissatisfied
2495770,Male,36,Returning,3,3,2,3,3,3,3,3,4,1,3,3,Neutral or Dissatisfied
5431252,Female,54,Returning,2,4,3,4,4,2,5,2,5,5,2,4,Satisfied
5269049,Female,45,Returning,4,3,4,4,2,5,4,3,4,4,5,3,Neutral or Dissatisfied
7365198,Male,53,Returning,4,4,3,2,4,2,3,3,3,3,4,2,Neutral or Dissatisfied
7897070,Female,42,First-time,2,4,1,4,4,4,2,3,4,4,3,4,Neutral or Dissatisfied
2604992,Male,28,Returning,3,4,5,4,4,5,5,4,5,5,4,3,Neutral or Dissatisfied
6626658,Female,38,First-time,4,4,4,4,2,4,3,2,3,3,5,4,Neutral or Dissatisfied
6183931,Male,30,Returning,1,1,4,2,1,4,2,4,2,2,3,2,Neutral or Dissatisfied
7427089,Male,39,Returning,5,4,4,5,5,4,5,4,3,5,4,5,Satisfied
5748042,Male,43,Returning,2,3,2,3,2,3,3,2,3,3,3,3,Neutral or Dissatisfied
5090356,Female,25,Returning,2,2,1,3,2,3,3,3,3,3,2,3,Neutral or Dissatisfied
9878272,Female,28,Returning,4,2,4,2,1,3,3,2,2,2,5,2,Neutral or Dissatisfied
3649060,Female,43,First-time,0,3,4,3,2,3,4,2,4,4,1,4,Neutral or Dissatisfied
8000132,Male,42,Returning,2,2,5,5,2,5,4,5,4,3,5,2,Satisfied
8102201,Male,11,Returning,3,3,3,5,3,4,5,1,5,5,1,3,Satisfied
7272598,Female,59,Returning,4,2,4,5,2,1,5,2,3,5,1,2,Neutral or Dissatisfied
9589301,Female,48,Returning,1,1,3,3,1,2,4,2,1,1,2,2,Neutral or Dissatisfied
3501839,Female,38,First-time,2,2,1,2,1,5,2,5,2,2,4,2,Neutral or Dissatisfied
8174260,Female,24,Returning,2,2,4,2,3,3,4,2,5,5,4,2,Neutral or Dissatisfied
7889773,Male,70,Returning,3,3,3,3,3,2,3,5,4,4,4,3,Neutral or Dissatisfied
8420259,Female,23,Returning,3,3,4,1,3,1,1,3,1,1,3,1,Neutral or Dissatisfied
1029206,Male,40,Returning,5,5,4,3,5,4,5,4,5,2,4,5,Satisfied
7306606,Male,44,Returning,2,2,1,2,3,2,1,1,4,4,3,2,Neutral or Dissatisfied
7899018,Female,46,Returning,2,2,4,4,3,3,3,2,4,1,3,3,Neutral or Dissatisfied
7534861,Female,36,First-time,1,2,3,2,4,3,1,2,4,4,3,2,Neutral or Dissatisfied
378754,Female,52,Returning,2,4,1,3,4,2,3,2,3,3,2,2,Neutral or Dissatisfied
906793,Female,31,Returning,0,0,3,3,1,5,3,1,3,0,1,0,Satisfied
847549,Female,32,First-time,4,3,1,3,1,5,5,1,5,5,1,3,Neutral or Dissatisfied
9769639,Female,52,Returning,2,2,4,3,2,4,3,4,4,3,4,4,Satisfied
8840317,Female,21,Returning,5,4,5,5,5,3,5,2,5,5,4,5,Satisfied
4100294,Male,55,First-time,2,2,5,2,1,5,5,2,4,4,4,2,Neutral or Dissatisfied
3067444,Male,22,First-time,2,2,1,2,2,5,2,5,5,5,1,2,Neutral or Dissatisfied
2326532,Male,38,Returning,2,2,2,5,2,5,1,5,5,5,5,2,Satisfied
1127587,Male,30,First-time,2,2,1,2,3,4,5,4,5,5,3,2,Neutral or Dissatisfied
9666558,Male,49,Returning,4,4,4,5,4,4,4,4,5,4,4,4,Satisfied
3684804,Female,54,Returning,3,4,4,5,4,4,4,4,3,3,4,4,Satisfied
6172853,Female,28,Returning,3,4,4,4,2,3,1,3,1,1,1,4,Satisfied
492251,Female,42,Returning,5,5,4,5,5,5,4,5,5,2,5,5,Satisfied
8437183,Male,53,Returning,3,4,5,4,3,2,5,2,3,5,2,3,Satisfied
6037485,Female,25,First-time,2,2,4,2,2,2,1,3,1,1,1,2,Neutral or Dissatisfied
7679779,Female,42,Returning,2,2,4,4,2,4,4,4,4,2,4,2,Satisfied
8171920,Female,43,Returning,3,3,1,1,3,5,5,5,1,2,5,5,Satisfied
9249991,Female,27,Returning,5,0,3,0,3,4,4,5,4,4,4,1,Neutral or Dissatisfied
7070515,Male,36,First-time,2,4,1,4,4,1,1,1,4,4,3,4,Neutral or Dissatisfied
9585095,Male,23,Returning,1,1,3,4,1,4,4,3,4,4,5,1,Satisfied
3902170,Female,33,Returning,4,4,2,2,4,2,2,4,2,2,3,2,Neutral or Dissatisfied
1619475,Male,30,First-time,2,4,1,4,3,2,2,5,3,3,2,3,Neutral or Dissatisfied
1413873,Male,34,Returning,4,4,4,3,4,5,5,5,4,1,5,4,Satisfied
9226229,Female,45,Returning,3,3,5,4,3,5,4,5,3,2,5,3,Satisfied
76587,Male,37,First-time,0,3,4,3,3,1,2,3,2,2,3,3,Neutral or Dissatisfied
5902967,Male,52,Returning,1,4,5,5,4,5,4,5,4,5,5,4,Satisfied
1193927,Male,36,First-time,2,2,4,2,5,5,3,3,3,3,5,2,Neutral or Dissatisfied
6638569,Female,14,Returning,4,0,4,0,3,3,2,3,2,2,4,2,Neutral or Dissatisfied
3691730,Female,40,Returning,1,1,2,4,1,4,2,4,1,1,4,1,Satisfied
6088055,Male,30,Returning,1,4,5,4,1,4,4,2,4,4,4,4,Satisfied
5394174,Female,54,Returning,4,4,3,4,4,4,5,4,5,5,4,4,Satisfied
1687556,Male,58,Returning,4,4,3,5,4,3,4,3,4,3,3,4,Satisfied
3864741,Female,53,Returning,2,2,4,3,2,4,5,4,3,2,4,2,Satisfied
3220554,Female,57,Returning,3,3,4,4,3,3,4,2,3,4,3,3,Satisfied
353409,Male,26,Returning,4,2,5,2,4,2,2,5,2,2,3,2,Neutral or Dissatisfied
6354942,Female,24,Returning,5,3,3,3,5,3,2,5,2,2,4,3,Neutral or Dissatisfied
3250407,Female,58,Returning,2,2,3,4,2,4,4,4,5,2,4,2,Satisfied
4241234,Male,37,Returning,4,4,3,3,4,4,3,4,3,3,4,3,Neutral or Dissatisfied
7604064,Female,58,Returning,2,2,2,4,2,2,3,2,1,1,2,2,Neutral or Dissatisfied
3730498,Male,47,Returning,5,5,3,4,5,4,4,4,3,5,4,5,Satisfied
4102753,Female,22,First-time,0,0,5,0,3,3,5,2,5,5,4,0,Satisfied
9832723,Male,18,First-time,1,1,1,1,4,1,3,5,2,2,1,1,Neutral or Dissatisfied
7142963,Female,52,Returning,1,1,3,5,1,4,4,4,3,2,4,1,Satisfied
9815506,Female,23,First-time,2,2,3,2,4,3,4,3,4,4,3,2,Neutral or Dissatisfied
9879092,Male,49,First-time,2,2,5,2,4,4,3,2,3,3,4,2,Neutral or Dissatisfied
7222619,Male,24,First-time,4,4,2,2,3,2,2,3,2,4,4,4,Satisfied
411172,Male,56,Returning,1,4,2,4,2,3,1,2,1,1,1,4,Neutral or Dissatisfied
2472985,Male,42,First-time,3,3,2,3,1,2,2,1,5,5,3,3,Neutral or Dissatisfied
1512971,Female,59,Returning,2,2,4,2,2,4,3,4,3,1,4,4,Neutral or Dissatisfied
9749412,Female,28,Returning,5,5,3,5,5,4,5,2,5,5,5,5,Satisfied
1275433,Male,54,Returning,3,5,4,5,3,5,5,5,3,5,5,3,Satisfied
2520288,Male,44,Returning,2,3,5,4,3,3,1,3,5,3,3,3,Satisfied
1799205,Male,58,Returning,1,4,4,4,3,2,4,5,4,4,3,4,Neutral or Dissatisfied
5123300,Female,35,Returning,4,4,4,5,4,2,5,5,5,5,5,5,Satisfied
2691477,Male,21,First-time,4,4,2,4,3,5,3,2,3,3,2,4,Satisfied
4793250,Male,24,Returning,4,4,5,5,4,4,5,3,5,5,5,4,Satisfied
7613234,Female,44,Returning,1,1,5,4,1,3,5,3,4,4,3,1,Satisfied
8231096,Male,36,Returning,1,4,2,1,4,2,1,2,4,5,2,2,Neutral or Dissatisfied
2352140,Male,24,Returning,5,1,1,1,3,3,3,4,3,3,5,1,Neutral or Dissatisfied
8821183,Female,49,Returning,4,4,5,5,4,5,5,5,4,3,5,4,Satisfied
1082479,Male,27,First-time,4,4,4,4,5,3,1,4,5,5,5,4,Neutral or Dissatisfied
1266675,Male,42,Returning,2,5,5,3,5,3,5,3,5,4,3,5,Satisfied
7946128,Male,58,Returning,3,3,4,4,3,4,5,4,5,3,4,3,Satisfied
9442547,Male,22,Returning,5,4,4,4,3,3,5,5,5,5,4,4,Neutral or Dissatisfied
2207376,Female,37,Returning,4,4,5,2,4,5,1,5,4,1,5,4,Satisfied
6030479,Male,50,Returning,1,4,4,4,1,3,4,3,4,2,3,1,Satisfied
277923,Male,25,First-time,3,1,2,1,2,4,3,5,3,3,2,1,Neutral or Dissatisfied
1595481,Female,50,Returning,5,5,3,4,3,4,4,5,5,3,4,5,Satisfied
4977277,Female,41,Returning,4,4,1,3,4,5,4,5,2,1,5,5,Satisfied
3086778,Female,30,Returning,0,0,2,0,1,4,5,1,5,5,4,0,Satisfied
5199478,Male,52,Returning,4,4,4,5,4,4,4,4,3,3,4,4,Satisfied
6350765,Male,39,Returning,4,4,1,4,4,4,2,4,2,3,4,4,Satisfied
1249579,Female,44,Returning,1,1,4,2,1,4,4,4,2,3,4,4,Satisfied
9973540,Male,42,Returning,3,3,4,2,3,4,2,4,2,5,4,3,Satisfied
1579000,Male,16,Returning,5,5,1,2,5,1,2,4,2,2,2,2,Neutral or Dissatisfied
4521760,Male,46,Returning,5,5,1,1,5,4,2,4,4,5,4,5,Satisfied
3950359,Female,54,Returning,3,2,1,3,2,2,3,2,1,2,2,2,Neutral or Dissatisfied
4445395,Male,73,Returning,5,5,4,3,5,1,2,1,3,2,1,1,Neutral or Dissatisfied
3312390,Female,42,Returning,5,2,4,5,5,5,5,2,4,5,5,3,Neutral or Dissatisfied
3237649,Female,57,Returning,4,3,5,5,1,2,4,3,4,5,2,3,Neutral or Dissatisfied
9975656,Male,69,Returning,4,4,5,3,4,3,3,4,2,4,3,4,Satisfied
7439258,Male,42,Returning,2,5,5,3,2,4,5,4,5,2,4,2,Satisfied
7831785,Male,58,Returning,3,2,1,2,3,2,4,1,4,4,2,2,Neutral or Dissatisfied
2347879,Female,59,Returning,1,3,4,3,3,5,3,3,3,5,5,3,Neutral or Dissatisfied
1084964,Male,58,Returning,1,1,5,5,1,4,4,4,4,5,4,1,Satisfied
9704515,Female,62,Returning,5,5,3,5,3,3,5,5,4,5,3,2,Neutral or Dissatisfied
7448265,Male,52,Returning,4,5,5,5,4,1,1,4,1,1,4,5,Satisfied
5232752,Female,51,Returning,5,5,3,3,5,4,1,4,5,1,4,4,Satisfied
2798041,Male,35,Returning,4,2,5,2,4,4,1,3,1,1,3,2,Neutral or Dissatisfied
3331483,Male,39,Returning,4,4,4,5,4,4,5,4,3,4,4,4,Satisfied
1397467,Male,8,Returning,4,4,4,4,3,5,3,4,2,2,5,4,Neutral or Dissatisfied
6166139,Male,23,First-time,1,1,2,1,1,1,4,3,4,4,4,2,Neutral or Dissatisfied
8429796,Female,27,Returning,1,3,4,2,1,3,2,1,2,2,3,2,Neutral or Dissatisfied
4173810,Male,26,Returning,5,5,2,5,5,3,5,2,5,5,4,5,Satisfied
190956,Male,57,Returning,5,5,5,2,5,4,3,4,4,5,4,5,Satisfied
3562262,Female,53,Returning,1,1,4,5,1,5,5,5,3,5,5,1,Satisfied
6944400,Female,47,Returning,5,2,3,5,4,5,5,2,4,4,5,2,Neutral or Dissatisfied
9779487,Male,39,Returning,1,1,5,5,1,4,4,4,5,2,4,1,Satisfied
2671117,Male,39,Returning,3,3,3,4,3,1,4,3,4,4,1,4,Satisfied
3292960,Male,64,Returning,3,3,4,1,3,4,1,4,1,1,4,1,Neutral or Dissatisfied
7011510,Male,55,Returning,1,1,4,5,1,5,5,5,4,3,5,1,Satisfied
3361083,Female,34,Returning,4,1,5,5,5,2,4,1,4,4,2,1,Neutral or Dissatisfied
4964407,Male,53,Returning,0,0,3,2,4,2,1,2,3,5,2,0,Satisfied
66979,Male,40,Returning,1,1,3,4,1,4,4,4,4,2,4,1,Satisfied
2018140,Male,50,Returning,2,5,1,4,5,5,4,1,4,4,4,4,Satisfied
3777438,Male,53,Returning,4,4,4,3,4,4,3,4,2,4,4,4,Neutral or Dissatisfied
4604232,Female,30,First-time,3,2,3,2,4,1,4,2,4,4,4,2,Neutral or Dissatisfied
9111708,Female,35,Returning,4,3,5,4,3,4,5,4,4,5,4,3,Satisfied
9697196,Male,17,Returning,4,3,3,3,5,4,5,4,5,5,4,3,Neutral or Dissatisfied
9694339,Male,7,Returning,5,2,4,2,4,3,3,5,3,3,5,2,Neutral or Dissatisfied
7627273,Male,57,Returning,3,3,4,4,3,3,5,4,3,5,3,3,Satisfied
2001268,Female,20,Returning,5,4,3,4,5,3,3,4,3,3,4,4,Satisfied
3505124,Female,46,Returning,2,2,3,4,2,3,3,3,3,3,3,3,Satisfied
2890133,Male,51,Returning,2,2,2,2,3,2,3,1,3,3,3,2,Neutral or Dissatisfied
1119967,Female,59,Returning,4,2,4,3,2,3,4,3,2,5,3,3,Neutral or Dissatisfied
3973075,Male,53,Returning,3,3,5,4,3,4,5,4,3,2,4,3,Satisfied
7646448,Female,10,Returning,2,4,1,4,3,2,4,1,4,4,3,4,Neutral or Dissatisfied
3681162,Female,9,Returning,4,2,3,2,2,3,4,3,4,4,5,2,Neutral or Dissatisfied
7242682,Female,16,Returning,1,0,4,0,2,3,4,5,4,4,2,3,Neutral or Dissatisfied
3270773,Male,51,Returning,3,3,4,5,3,4,5,4,3,3,4,3,Satisfied
3335140,Male,51,Returning,5,4,3,4,3,3,3,2,3,3,5,3,Neutral or Dissatisfied
8456260,Male,10,Returning,2,3,4,3,2,2,3,2,3,3,4,3,Neutral or Dissatisfied
4821082,Female,41,Returning,5,4,5,4,3,4,4,2,2,2,5,4,Neutral or Dissatisfied
819210,Male,10,Returning,5,1,5,1,3,4,3,4,3,3,5,2,Neutral or Dissatisfied
4733539,Male,54,Returning,1,1,4,3,1,3,4,4,4,3,3,3,Neutral or Dissatisfied
6638907,Female,36,Returning,1,1,1,3,1,3,3,3,3,1,3,3,Neutral or Dissatisfied
3491618,Female,23,First-time,0,5,5,5,1,3,2,4,2,2,5,5,Satisfied
7967649,Male,55,Returning,1,3,4,3,3,3,1,2,1,1,3,3,Neutral or Dissatisfied
3387911,Female,22,First-time,0,0,4,0,4,5,2,4,2,2,5,0,Satisfied
572940,Female,12,First-time,4,4,2,4,2,1,5,1,5,5,2,4,Satisfied
287695,Female,18,Returning,5,2,3,2,3,4,3,4,3,3,5,2,Neutral or Dissatisfied
9110095,Male,27,Returning,5,1,4,1,4,5,3,5,3,3,5,1,Neutral or Dissatisfied
8031675,Male,25,Returning,4,5,3,5,2,4,3,2,3,3,5,5,Satisfied
1956966,Female,34,First-time,3,3,5,3,2,3,1,4,1,1,2,3,Neutral or Dissatisfied
2910160,Male,25,Returning,2,2,5,5,2,5,5,5,5,5,1,2,Satisfied
8486960,Male,56,Returning,3,3,3,5,3,5,4,5,4,2,5,3,Satisfied
2342073,Female,30,First-time,2,2,5,2,4,3,3,2,3,3,4,2,Neutral or Dissatisfied
2106828,Female,49,Returning,2,2,5,5,2,5,5,5,5,2,5,2,Satisfied
7501690,Female,27,Returning,4,5,3,5,4,4,1,2,5,5,5,5,Satisfied
7247642,Male,39,Returning,4,4,4,3,4,3,4,2,1,2,3,3,Neutral or Dissatisfied
7803987,Female,79,Returning,1,1,2,4,1,5,4,4,3,4,5,5,Neutral or Dissatisfied
2237132,Female,18,Returning,3,1,4,1,4,3,1,3,5,5,3,1,Neutral or Dissatisfied
6035509,Male,68,Returning,3,2,2,2,1,4,2,1,2,2,5,2,Neutral or Dissatisfied
3975945,Female,49,Returning,4,3,2,2,4,2,2,5,2,2,4,4,Satisfied
6602341,Female,33,Returning,4,4,2,2,4,3,3,3,2,1,3,4,Satisfied
2667988,Male,27,First-time,2,3,2,3,4,4,3,1,3,3,3,3,Neutral or Dissatisfied
1202442,Male,13,First-time,1,2,1,2,3,2,1,1,4,4,3,2,Neutral or Dissatisfied
8276853,Female,64,Returning,0,0,5,4,2,3,5,5,4,3,3,0,Satisfied
6228446,Male,59,Returning,3,3,5,5,3,5,5,5,5,4,5,3,Satisfied
6575166,Female,65,Returning,4,5,2,1,3,5,4,5,4,2,5,5,Satisfied
4089358,Male,51,Returning,3,3,2,2,3,2,2,4,2,2,4,3,Satisfied
9658484,Female,38,First-time,5,5,4,5,3,4,3,2,3,3,4,5,Satisfied
5666760,Female,22,Returning,3,3,1,3,3,2,3,2,3,3,3,3,Neutral or Dissatisfied
4752939,Female,20,Returning,5,2,4,2,4,5,5,5,5,5,4,2,Neutral or Dissatisfied
8855374,Female,27,Returning,1,1,4,4,1,2,4,1,4,4,5,1,Satisfied
3468647,Male,45,Returning,5,1,3,1,2,5,2,4,2,2,5,1,Neutral or Dissatisfied
4718294,Male,41,Returning,3,3,2,1,3,4,5,4,3,5,4,3,Satisfied
557233,Male,23,Returning,2,2,1,2,2,2,2,4,2,2,4,2,Neutral or Dissatisfied
4289637,Female,54,Returning,2,2,4,4,2,5,4,3,4,4,4,2,Satisfied
3023642,Female,47,Returning,3,3,4,3,3,3,4,2,4,2,3,3,Satisfied
3269465,Female,53,Returning,2,3,4,3,4,5,4,3,2,5,5,3,Neutral or Dissatisfied
9825018,Male,23,Returning,2,1,2,1,4,1,5,2,5,5,3,1,Neutral or Dissatisfied
9522212,Female,48,Returning,4,3,4,5,4,5,5,5,4,3,5,4,Satisfied
90347,Male,20,Returning,2,2,1,5,2,5,5,3,5,5,4,2,Satisfied
2904733,Male,41,Returning,1,5,3,4,1,4,4,4,4,3,4,1,Satisfied
418988,Male,31,Returning,1,1,4,2,1,1,2,3,2,2,1,1,Satisfied
